title,company,location,stipend,duration,link,scraped_on
Founding Engineer (Full Stack and AI),Desh AI Labs,Work from home,"₹ 20,000 - 30,000 /month",6 Months,https://internshala.com/internship/detail/work-from-home-founding-engineer-full-stack-and-ai-internship-at-desh-ai-labs1779275789,2026-05-25 14:45
Project Coordinator,ConsultBae,Gurgaon,"₹ 10,000 - 12,000 /month",6 Months,https://internshala.com/internship/detail/project-coordinator-internship-in-gurgaon-at-consultbae1779275509,2026-05-25 14:45
AI Web Development,InAmigos Foundation,Work from home,Unpaid,2 Weeks,https://internshala.com/internship/detail/work-from-home-ai-web-development-internship-at-inamigos-foundation1779271909,2026-05-25 14:45
Artificial Intelligence (AI),Vyroo Ventures Private Limited,Hyderabad,"₹ 20,000 - 30,000 /month",3 Months,https://internshala.com/internship/detail/artificial-intelligence-ai-internship-in-hyderabad-at-vyroo-ventures-private-limited1779270835,2026-05-25 14:45
Data Operations,Renan Partners,Work from home,"₹ 5,000 /month",2 Months,https://internshala.com/internship/detail/work-from-home-data-operations-internship-at-renan-partners1779267871,2026-05-25 14:45
AI Automation & App Development,Weaving Vibes,Bangalore,"₹ 20,000 - 30,000 /month",6 Months,https://internshala.com/internship/detail/ai-automation-app-development-internship-in-bangalore-at-weaving-vibes1779260621,2026-05-25 14:45
Data Science,Maxgen Technologies Private Limited,Pune,"₹ 5,000 - 12,000 /month",3 Months,https://internshala.com/internship/detail/part-time-data-science-internship-in-pune-at-maxgen-technologies-private-limited1779250160,2026-05-25 14:45
AI Research Analyst,Triluxo Technologies Private Limited,Work from home,"₹ 5,000 - 10,000 /month",6 Months,https://internshala.com/internship/detail/work-from-home-ai-research-analyst-internship-at-triluxo-technologies-private-limited1779249856,2026-05-25 14:45
Strategy,Vedron.ai,Work from home,"₹ 10,000 - 50,000 /month",3 Months,https://internshala.com/internship/detail/work-from-home-part-time-strategy-internship-at-vedronai1779192146,2026-05-25 14:45
Linguistic Annotation,Graveiens Eduservices Private Limited,Work from home,"₹ 15,000 - 25,000 /month",3 Months,https://internshala.com/internship/detail/work-from-home-part-time-linguistic-annotation-internship-at-graveiens-eduservices-private-limited1779192057,2026-05-25 14:45
Creative Process Engineer - Trainee,Confluencr,Bangalore,"₹ 15,000 - 20,000 /month",4 Months,https://internshala.com/internship/detail/creative-process-engineer-trainee-internship-in-bangalore-at-confluencr1779189968,2026-05-25 14:45
Data Analytics,Calipers Consulting Private Limited,"Secunderabad, Hyderabad","₹ 50,000 - 70,000 /month",1 Month,https://internshala.com/internship/detail/part-time-data-analytics-internship-in-multiple-locations-at-calipers-consulting-private-limited1779187880,2026-05-25 14:45
AI/ML Developer,Qriocity Ventures Private Limited,Work from home,"₹ 5,000 - 15,000 /month",3 Months,https://internshala.com/internship/detail/work-from-home-ai-ml-developer-internship-at-qriocity-ventures-private-limited1779185869,2026-05-25 14:45
Google Ads Media Buyer,"Leadscaleya (Milan, Italy)",Work from home,"₹ 16,000 - 40,000 /month",3 Months,https://internshala.com/internship/detail/work-from-home-google-ads-media-buyer-internship-at-leadscaleya1779184336,2026-05-25 14:45
Research Associate,ReAnIn,Hyderabad,"₹ 8,000 - 10,000 /month",6 Months,https://internshala.com/internship/detail/research-associate-internship-in-hyderabad-at-reanin1779177706,2026-05-25 14:45
AI Prompt Engineer – Founder’s Office,Tale Of Tails,Mumbai,"₹ 5,000 /month",3 Months,https://internshala.com/internship/detail/ai-prompt-engineer--founders-office-internship-in-mumbai-at-tale-of-tails1779176763,2026-05-25 14:45
Data Analytics,Superwork,Work from home,"₹ 26,000 - 27,500 /month",3 Months,https://internshala.com/internship/detail/work-from-home-data-analytics-internship-at-superwork1779163623,2026-05-25 14:45
Data Analytics,After Passout Private Limited,Work from home,"₹ 22,000 - 25,500 /month",3 Months,https://internshala.com/internship/detail/work-from-home-data-analytics-internship-at-after-passout-private-limited1779112519,2026-05-25 14:45
AI Movie Creator (Realistic Short Films),Warewe Consultancy Private Limited,Work from home,"₹ 6,000 - 9,000 /month",2 Months,https://internshala.com/internship/detail/work-from-home-ai-movie-creator-realistic-short-films-internship-at-warewe-consultancy-private-limited1779111927,2026-05-25 14:45
MLOps and AI Infra,"North Star Contests (Toronto, Canada)",Work from home,"₹ 22,000 - 36,000 /month",2 Months,https://internshala.com/internship/detail/work-from-home-mlops-and-ai-infra-internship-at-north-star-contests1779103791,2026-05-25 14:45
Artificial Intelligence (AI),Innovfix Private Limited,Bangalore,"₹ 10,000 /month",3 Months,https://internshala.com/internship/detail/part-time-artificial-intelligence-ai-internship-in-bangalore-at-innovfix-private-limited1779101892,2026-05-25 14:45
Accounting & Tally,"Aegis School Of Business, Data Science, Cyber Security And Telecommunication",Navi Mumbai,"₹ 5,000 - 10,000 /month",3 Months,https://internshala.com/internship/detail/accounting-tally-internship-in-navi-mumbai-at-aegis-school-of-business-data-science-cyber-security-and-telecommunication1779091412,2026-05-25 14:45
Lead Management & Pre-Sales Analyst,BNM Business Solutions LLP,"Navi Mumbai, Mumbai","₹ 9,000 /month",3 Months,https://internshala.com/internship/detail/lead-management-pre-sales-analyst-internship-in-multiple-locations-at-bnm-business-solutions-llp1779088838,2026-05-25 14:45
AI Video Creator & Editor,Brain Quest,Work from home,"₹ 5,000 - 7,000 /month",6 Months,https://internshala.com/internship/detail/work-from-home-ai-video-creator-editor-internship-at-brain-quest1779087691,2026-05-25 14:45
Data Scraping & Management,The ProEducator,Work from home,"₹ 9,000 lump sum",1 Month,https://internshala.com/internship/detail/work-from-home-part-time-data-scraping-management-internship-at-the-proeducator1779078595,2026-05-25 14:45
Data Scientist,Maxgen Technologies Private Limited,Pune,"₹ 5,000 - 12,000 /month",3 Months,https://internshala.com/internship/detail/part-time-data-scientist-internship-in-pune-at-maxgen-technologies-private-limited1779078264,2026-05-25 14:45
Artificial Intelligence (AI),QuickHyre,Work from home,"₹ 10,000 - 18,000 /month",6 Months,https://internshala.com/internship/detail/work-from-home-part-time-artificial-intelligence-ai-internship-at-quickhyre1779077879,2026-05-25 14:45
Recommendation System,International Institute Of SDGs & Public Policy Research,Work from home,Unpaid,3 Months,https://internshala.com/internship/detail/work-from-home-part-time-recommendation-system-internship-at-international-institute-of-sdgs-public-policy-research1779077415,2026-05-25 14:45
Artificial Intelligence (AI),Gharpayy,Work from home,"₹ 3,000 - 4,000 /month",2 Months,https://internshala.com/internship/detail/work-from-home-artificial-intelligence-ai-internship-at-gharpayy1779043894,2026-05-25 14:45
Data Science,Maxgen Technologies Private Limited,Ahmedabad,"₹ 5,000 - 12,000 /month",3 Months,https://internshala.com/internship/detail/data-science-internship-in-ahmedabad-at-maxgen-technologies-private-limited1779043320,2026-05-25 14:45
Data Analytics,The ProEducator,Work from home,"₹ 3,000 - 60,000 /month",3 Months,https://internshala.com/internship/detail/work-from-home-part-time-data-analytics-internship-at-prashant-kumar-limited1779029040,2026-05-25 14:45
AI Agent Development,International Institute Of SDGs & Public Policy Research,Work from home,Unpaid,1 Month,https://internshala.com/internship/detail/work-from-home-ai-agent-development-internship-at-international-institute-of-sdgs-public-policy-research1778960368,2026-05-25 14:45
Performance Marketing,The Bombay Digital Company,Mumbai,"₹ 8,000 - 10,000 /month",6 Months,https://internshala.com/internship/detail/performance-marketing-internship-in-mumbai-at-the-bombay-digital-company1778936106,2026-05-25 14:45
AI And Coding,J D Jones & Company Private Limited,Kolkata,"₹ 12,000 - 12,001 /month",3 Months,https://internshala.com/internship/detail/ai-and-coding-internship-in-kolkata-at-j-d-jones-company-private-limited1778926412,2026-05-25 14:45
Data Science,Maxgen Technologies Private Limited,Pune,"₹ 5,000 - 12,000 /month",3 Months,https://internshala.com/internship/detail/part-time-data-science-internship-in-pune-at-maxgen-technologies-private-limited1778911709,2026-05-25 14:45
Machine Learning,Career Solutions,Chennai,"₹ 7,000 - 9,000 /month",1 Month,https://internshala.com/internship/detail/part-time-machine-learning-internship-in-chennai-at-career-solutions1778911105,2026-05-25 14:45
AI Content Generation & Automation Engineer,Tell Tale Social,Work from home,"₹ 20,000 - 25,000 /month",3 Months,https://internshala.com/internship/detail/work-from-home-ai-content-generation-automation-engineer-internship-at-tell-tale-social1778869377,2026-05-25 14:45
AI Video Editor,Eminence Studios,Work from home,"₹ 5,000 - 15,000 /month",6 Months,https://internshala.com/internship/detail/work-from-home-ai-video-editor-internship-at-eminence-studios1778844328,2026-05-25 14:45
Lead Management & Pre-Sales Analyst,BNM Business Solutions LLP,"Navi Mumbai, Mumbai","₹ 9,000 /month",3 Months,https://internshala.com/internship/detail/lead-management-pre-sales-analyst-internship-in-multiple-locations-at-bnm-business-solutions-llp1778838779,2026-05-25 14:45
Data Scientist,Maxgen Technologies Private Limited,Ahmedabad,"₹ 5,000 - 12,000 /month",3 Months,https://internshala.com/internship/detail/data-scientist-internship-in-ahmedabad-at-maxgen-technologies-private-limited1778835024,2026-05-25 14:45
Data Science,Markytics,Pune,"₹ 25,000 - 35,000 /month",6 Months,https://internshala.com/internship/detail/data-science-internship-in-pune-at-markytics1778825203,2026-05-25 14:45
AI Automation Operator,Upnex Solutions,Tiruchirappalli,"₹ 7,000 - 20,000 /month",6 Months,https://internshala.com/internship/detail/ai-automation-operator-internship-in-tiruchirappalli-at-upnex-solutions1778824604,2026-05-25 14:45
Video Editing/Making,International Institute Of Data Science & Technology,Mumbai,"₹ 5,000 - 10,000 /month",6 Months,https://internshala.com/internship/detail/video-editing-making-internship-in-mumbai-at-international-institute-of-data-science-technology1778823707,2026-05-25 14:45
AI Video Editor,CogniAI Private Limited,"Delhi, Gurgaon, Noida","₹ 15,000 - 20,000 /month",3 Months,https://internshala.com/internship/detail/ai-video-editor-internship-in-multiple-locations-at-cogniai-private-limited1778822447,2026-05-25 14:45
AI Sales Expert,Debattles Enterprises LLP,Work from home,"₹ 15,000 - 65,000 /month",3 Months,https://internshala.com/internship/detail/work-from-home-ai-customer-success-internship-at-debattles-enterprises-llp1778821543,2026-05-25 14:45
Content Creation and Social Media Manager,"Myfundraiser (Sydney, Australia)",Work from home,"₹ 8,000 - 12,000 /month",3 Months,https://internshala.com/internship/detail/work-from-home-ai-driven-community-content-internship-at-myfundraiser1778819530,2026-05-25 14:45
Databricks Data Engineer,"Xponent AI (Sydney, Australia)",Work from home,"₹ 15,000 - 20,000 /month",3 Months,https://internshala.com/internship/detail/work-from-home-databricks-data-engineer-internship-at-xponent-ai1778819110,2026-05-25 14:45
Artificial Intelligence (AI),Terse Job,Work from home,"₹ 6,000 - 15,000 /month",6 Months,https://internshala.com/internship/detail/work-from-home-artificial-intelligence-ai-internship-at-terse-job1778784626,2026-05-25 14:45
